Species,Light_ISF,Soil,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Time,Event,Harvest,Alive
2,0.079,4,1,1,1,2,1,0.0,0.0,3.23,24.96,13.41,24.5,1,1,2
1,0.079,3,0,0,1,1,1,12.0,0.0,4.76,23.42,16.15,24.5,1,1,2
3,0.078,6,0,0,0,1,0,25.41,0.0,0.65,9.28,11.93,24.5,0,0,0
0,0.071,1,0,0,0,1,0,11.88,0.0,-0.04,11.0,11.2,24.5,0,0,0
0,0.079,5,0,2,0,0,0,19.56,0.0,0.26,14.14,11.89,24.5,0,0,0
2,0.079,2,0,0,1,0,1,7.0,34.62,3.56,26.33,15.14,24.5,1,1,2
1,0.079,6,0,2,1,1,0,22.0,36.36,3.54,25.94,12.25,24.5,1,1,2
2,0.079,1,0,2,1,1,1,15.96,29.74,3.57,25.75,14.62,24.5,0,0,0
2,0.071,5,0,0,1,0,1,26.0,0.0,3.89,23.43,16.39,24.5,1,1,2
3,0.076,3,0,0,0,1,0,57.98,0.0,0.57,5.4,6.1,24.5,0,0,0
1,0.083,3,0,0,1,1,1,18.38,21.88,4.88,18.46,22.01,115.5,1,0,1
2,0.118,0,0,0,1,0,1,17.64,34.98,3.44,22.85,16.6,115.5,1,0,1
2,0.118,0,0,0,1,0,1,17.64,34.98,3.44,22.85,16.6,115.5,1,0,1
2,0.076,3,0,0,1,1,1,13.0,0.0,3.64,22.98,16.12,24.5,1,1,2
2,0.076,3,0,0,1,1,1,27.0,6.78,3.64,19.3,18.91,24.5,1,1,2
1,0.073,3,0,0,1,1,1,7.0,19.0,4.69,22.94,16.63,24.5,1,1,2
1,0.076,1,0,0,1,1,1,19.0,48.39,4.92,19.29,21.67,24.5,1,1,2
1,0.076,4,1,1,1,2,1,6.0,0.0,2.83,22.75,16.24,24.5,1,1,2
2,0.082,4,1,1,1,2,1,4.09,7.25,3.3,24.98,14.45,115.5,1,0,1
0,0.076,2,0,0,0,0,0,18.16,0.0,-0.15,10.32,10.73,24.5,0,0,0
1,0.073,0,0,0,1,0,1,11.0,29.82,3.58,19.82,19.21,24.5,1,1,2
0,0.118,4,1,1,0,2,1,8.38,0.0,0.14,10.63,11.53,66.5,0,0,0
2,0.073,6,0,0,1,1,1,19.0,15.56,2.9,24.53,12.62,24.5,1,1,2
2,0.073,3,0,0,1,1,1,15.0,15.79,3.7,22.76,16.8,24.5,1,1,2
2,0.1,4,1,1,1,2,1,8.35,4.35,3.51,24.68,15.09,115.5,1,0,1
2,0.073,1,0,2,1,1,1,19.0,4.17,2.69,32.21,9.85,24.5,1,1,2
2,0.082,2,0,0,1,0,1,17.88,30.35,3.55,26.87,14.48,66.5,0,0,0
1,0.118,5,0,0,1,0,1,22.62,27.21,5.22,18.79,24.0,73.5,0,0,0
1,0.1,6,0,2,1,1,1,15.82,35.47,4.97,23.32,16.81,73.5,0,0,0
1,0.1,4,1,1,1,2,1,10.91,13.63,3.77,18.81,21.58,66.5,0,0,0
3,0.076,4,1,1,0,2,0,1.0,0.0,0.23,7.67,10.42,24.5,1,1,2
0,0.082,4,1,1,0,2,1,10.58,0.0,-0.03,12.92,12.57,66.5,0,0,0
1,0.082,1,0,0,1,1,1,23.53,37.65,5.01,19.39,20.67,70.0,0,0,0
3,0.073,5,0,0,0,0,0,30.16,0.0,0.55,4.97,6.92,24.5,0,0,0
2,0.082,1,0,2,1,1,1,14.95,30.19,3.6,25.81,14.58,59.5,0,0,0
0,0.076,6,0,0,0,1,0,15.55,0.0,-0.04,13.43,12.19,24.5,0,0,0
3,0.076,0,0,2,0,0,0,35.51,0.0,0.44,5.22,7.05,24.5,0,0,0
2,0.076,5,0,0,1,0,1,28.0,0.0,3.79,26.79,14.46,24.5,1,1,2
1,0.076,4,1,1,1,2,1,0.0,0.0,3.41,23.55,15.44,24.5,1,1,2
1,0.076,1,0,0,1,1,1,17.0,41.07,4.91,21.39,18.0,24.5,1,1,2
1,0.076,6,0,2,1,1,1,9.0,41.38,4.81,23.69,16.19,24.5,1,1,2
3,0.073,2,0,0,0,0,0,21.77,0.0,0.31,5.09,6.89,24.5,0,0,0
3,0.073,4,1,1,0,2,0,11.31,0.0,0.25,6.04,10.08,24.5,0,0,0
1,0.1,4,1,1,1,2,1,10.91,13.63,3.77,18.81,21.58,115.5,1,0,1
2,0.1,6,0,0,1,1,1,19.52,20.74,3.83,21.37,17.78,115.5,1,0,1
3,0.073,4,1,1,0,2,0,11.31,0.0,0.25,6.04,10.08,24.5,0,0,0
1,0.082,3,0,0,1,1,1,16.39,15.84,4.82,17.99,21.76,115.5,1,0,1
2,0.076,0,0,0,1,0,1,21.0,11.54,2.53,24.31,11.6,24.5,1,1,2
2,0.076,5,0,0,1,0,1,12.0,26.67,3.86,19.48,19.29,24.5,1,1,2
0,0.1,4,1,1,0,2,1,7.0,0.0,0.08,12.48,12.24,66.5,0,0,0
1,0.1,0,0,0,1,0,1,15.35,29.41,4.15,18.88,23.37,66.5,0,0,0
2,0.1,5,0,0,1,0,1,29.07,37.95,3.81,26.63,14.74,115.5,1,0,1
1,0.082,4,1,1,1,2,1,0.72,0.69,2.87,19.49,17.79,80.5,0,0,0
2,0.073,4,1,1,1,2,1,5.0,0.0,3.34,23.66,15.59,24.5,1,1,2
0,0.076,1,0,0,0,1,0,14.49,0.0,0.0,10.39,10.83,24.5,0,0,0
0,0.082,4,1,1,0,2,1,10.58,0.0,-0.03,12.92,12.57,66.5,0,0,0
2,0.1,5,0,0,1,0,1,29.07,37.95,3.81,26.63,14.74,73.5,0,0,0
1,0.1,0,0,0,1,0,1,15.35,29.41,4.15,18.88,23.37,115.5,1,0,1
2,0.076,3,0,0,1,1,1,16.0,73.68,3.96,22.76,17.22,24.5,1,1,2
1,0.076,2,0,0,1,0,1,21.0,36.84,4.41,21.5,17.62,24.5,1,1,2
2,0.082,3,0,0,1,1,1,19.2,29.08,3.72,20.64,18.29,115.5,1,0,1
3,0.086,4,1,1,0,2,0,0.0,0.0,0.19,7.39,11.24,24.5,1,1,2
2,0.082,5,0,0,1,0,1,20.54,46.06,3.79,26.87,14.81,115.5,1,0,1
1,0.086,1,0,0,1,1,1,0.0,29.41,4.86,25.77,14.43,24.5,1,1,2
2,0.086,3,0,0,1,1,1,32.0,45.45,3.7,19.15,20.01,24.5,1,1,2
1,0.1,0,0,0,1,0,0,15.35,29.41,4.15,18.88,23.37,115.5,1,0,1
1,0.098,0,0,0,1,0,1,16.0,42.86,3.97,18.39,22.39,24.5,1,1,2
